locationId,name,continent,movie,tvSeries,comic,game,oneShot,affiliation,continent
111,Astral Dimension,Multiverse,"['Captain America: Civil War', 'Doctor Strange', 'Black Panther', 'Avengers: Infinity War', 'Avengers: Endgame', 'Spider-Man: No Way Home', 'Doctor Strange in the Multiverse of Madness']","['WandaVision (What If...?)', 'WandaVision (Moon Knight)']","['Doctor Strange: Mystic Apprentice', 'Avengers: Infinity War Prelude']",,,,
112,Asunción,Paraguay,,,['Black Panther Prelude'],,,,South America
113,ATCU Storage Facility,"South Bend, Indiana",,"['Agents of S.H.I.E.L.D. (Watchdogs)', 'Agents of S.H.I.E.L.D. (Emancipation)']",,,,['Advanced Threat Containment Unit'],North America
114,ATF Field Office,"Wall Street, New York City, New York",,['The Punisher (Front Toward Enemy)'],,,,['ATF'],North America
115,Athens,Greece,['Eternals'],"['Agents of S.H.I.E.L.D. (Uprising)', 'Agents of S.H.I.E.L.D. (The Man Behind the Shield)', 'Agents of S.H.I.E.L.D. (The Falcon and The Winter Soldier)', 'Agents of S.H.I.E.L.D. (Truth)']",,,,,Europe
116,Athens–Clarke County,"Georgia, United States of America",,['Agents of S.H.I.E.L.D. (Love in the Time of HYDRA)'],,,,,North America
117,Atlanta,"Georgia, United States of America","['Spider-Man: Homecoming', '[1]', 'Avengers: Infinity War', 'post-credit scene']","['Agents of S.H.I.E.L.D. (Runaways)', 'Agents of S.H.I.E.L.D. (Loki)']","['Iron Man 2: Public Identity', 'Captain Marvel Prelude']",,,,North America
118,Atlantic City,"New Jersey, United States of America",,['Jessica Jones (AKA The Sandwich Saved Me)'],,,,,North America
119,Atlantis,Earth,['Black Panther: Wakanda Forever'],['Agents of S.H.I.E.L.D. (...Ye Who Enter Here)'],,,,,
120,Atlas Academy,"Los Angeles, California",,Runaways,,,,,North America
121,Attilan,Moon (formerly)Earth,,Inhumans,,,,,
122,Attilan Mines,"Attilan, Moon",,"['Inhumans (Behold… The Inhumans!)', 'Inhumans (Those Who Would Destroy Us)', 'Inhumans (Divide -- And Conquer)']",,,,,
123,Auburndale Art School,"Brooklyn, New York City, New York",['The Avengers'],,,,,,North America
124,Auerbach Theatrical Agency,"Los Angeles, California",,['Agents of S.H.I.E.L.D. (Agent Carter)'],,,,"['Strategic Scientific Reserve', 'S.H.I.E.L.D.']",North America
125,Augsburg,Germany,['Captain America: The First Avenger'],,,,,,Europe
126,Augusta,"Georgia, United States of America",,['Iron Fist (Felling Tree with Roots)'],,,,,North America
127,Aurangabad,India,,['Iron Fist (Felling Tree with Roots)'],,,,,Asia
128,Austin,"Texas, United States of America",,['Agents of S.H.I.E.L.D. (Girl in the Flower Dress)'],,,,,North America
129,Australia,Earth,"['Captain America: The First Avenger', 'Eternals']","['Agents of S.H.I.E.L.D. (Iron Fist)', 'Agents of S.H.I.E.L.D. (What If...?)', 'Agents of S.H.I.E.L.D. (Secret Invasion)']",['The Avengers Prelude: Black Widow Strikes'],,['Team Thor: Part 1Team Thor: Part 2'],,Australia
130,Austria,Earth,"['Captain America: The First Avenger', 'Ant-Man', 'Captain America: Civil War', 'Black Panther', 'Spider-Man: Far From Home']","['Agents of S.H.I.E.L.D. (Iron Fist)', 'Agents of S.H.I.E.L.D. (The Falcon and The Winter Soldier)', 'Agents of S.H.I.E.L.D. (What If...?)', 'Agents of S.H.I.E.L.D. (Moon Knight)']","['Captain America: First Vengeance', 'Captain America: The First Avenger Adaptation', 'Avengers: Infinity War Prelude']",,,,Europe
131,Austrian HYDRA Weapons Facility,"Austria, Nazi Germany",['Captain America: The First Avenger'],['What If...? (What If... Captain Carter Were The First Avenger?)'],"['Captain America: First Vengeance', 'Captain America: The First Avenger Adaptation']",,,['HYDRA'],Europe
132,Avalon (California),"California, United States of America",['Iron Man'],,"['Iron Man: I Am Iron Man!', 'Iron Man 2: Public Identity']",,,,North America
133,Avengers Compound,New York,"['Avengers: Age of Ultron', 'Ant-Man', 'Captain America: Civil War', 'Spider-Man: Homecoming', 'Avengers: Infinity War', 'Captain Marvel', 'mid-credit scene', 'Avengers: Endgame', 'Thor: Love and Thunder']","['WandaVision (Hawkeye)', 'WandaVision (Ms. Marvel)']","['Captain America: Road to War', 'Captain America: Civil War Prelude Infinite Comic', 'Avengers: Infinity War Prelude', 'Ant-Man and the Wasp Prelude', 'Captain Marvel Prelude', 'Avengers: Endgame Prelude', 'Spider-Man: Far From Home Prelude']",,,"['Stark Industries', 'Avengers']",North America
134,Avengers Tower,"New York City, New York","['The Avengers', 'Iron Man 3', 'Captain America: The Winter Soldier', 'Avengers: Age of Ultron', 'Doctor Strange', 'Spider-Man: Homecoming', 'Avengers: Infinity War', 'Avengers: Endgame', 'Spider-Man: Far From Home', 'Spider-Man: Far From Home']","['Agents of S.H.I.E.L.D. (Daredevil)', 'Agents of S.H.I.E.L.D. (WandaVision)', 'Agents of S.H.I.E.L.D. (Loki)', 'Agents of S.H.I.E.L.D. (What If...?)', 'Agents of S.H.I.E.L.D. (Hawkeye)']","['Iron Man 3 Prelude', 'Iron Man: The Coming of the Melter', 'Thor: The Dark World Prelude', 'The Avengers Adaptation', ""Avengers: Age of Ultron Prelude - This Scepter'd Isle"", 'Avengers: Operation HYDRA', 'Captain America: Road to War', 'Avengers: Infinity War Prelude', 'Spider-Man: Far From Home Prelude']",['The Incredible HulkIron Man 3 - The Official Game (mentioned)'],,"['Stark Industries', 'Avengers']",North America
135,Aztec Empire,Earth,['Eternals'],,,,,,North America
136,Azzano,Italy,"['Captain America: The First Avenger', 'Captain America: The Winter Soldier']",['The Falcon and The Winter Soldier (New World Order)'],['Captain America: The First Avenger Adaptation'],,,,Europe
137,Babylon,Mesopotamia (formerly)Iraq,['Eternals'],,['Eternals: The 500 Year War'],['Eternals: AR Story Experience (illusion)'],,,Asia
138,Bad Wiessee,Germany,,,['Captain America: First Vengeance'],,,,Europe
139,Badoon Worlds,,,,['Thor: The Dark World Prelude'],,,,
140,Baffin Island,Canada,,['Agents of S.H.I.E.L.D. (The Well)'],,,,,North America
141,Baghdad,Iraq,,['The Punisher (Helstrom)'],,,,,Asia
142,Bagram,Afghanistan,['Iron Man'],['The Punisher (Two Dead Men)'],['Iron Man 3 Prelude'],,,,Asia
143,Bagram Air Base,"Bagram, Afghanistan",['Iron Man'],,"['Iron Man: I Am Iron Man!', 'Iron Man 3 Prelude']",,,['United States Air Force'],Asia
144,Bahamas,Earth,"['Captain America: The First Avenger', 'Captain America: Civil War']",['Daredevil (The Dark at the End of the Tunnel)'],,,,,North America
145,Bahrain,Earth,,Agents of S.H.I.E.L.D.,,,,,Asia
146,Bailey's Auction House,"New York City, New York",,"[""Iron Fist (The City's Not for Burning)""]",,,,,North America
147,Baja California,Mexico,,"['Agents of S.H.I.E.L.D. (S.O.S. Part One)', 'Agents of S.H.I.E.L.D. (Watchdogs)']",,,,,North America
148,Bakersfield,"California, United States of America",,"['Runaways (Rewind)', 'Runaways (WandaVision)', 'Runaways (We Interrupt This Program)']",,,,,North America
149,Bakhmala,Afghanistan,['Captain America: The Winter Soldier'],,,,,,Asia
150,Ball State University,"Muncie, Indiana",,['Agents of S.H.I.E.L.D. (End of the Beginning)'],,,,,North America
151,Baltimore,"Maryland, United States of America","['Captain America: The Winter Soldier', 'Spider-Man: Homecoming']",['Agents of S.H.I.E.L.D. (The Falcon and The Winter Soldier)'],,,,,North America
152,Baltimore Police Station,"Baltimore, Maryland",,['The Falcon and The Winter Soldier (The Star-Spangled Man)'],,,,['Baltimore Police Department'],North America
153,Baltimore-Washington International Thurgood Marshall Airport,"Baltimore, Maryland",['Captain America: The Winter Soldier'],,,,,,North America
154,Bandung,Indonesia,,['Agents of S.H.I.E.L.D. (T.A.H.I.T.I.)'],,,,,Asia
155,Bangkok,Thailand,,['Agents of S.H.I.E.L.D. (The Man Behind the Shield)'],,,,,Asia
156,Bangladesh,Earth,,"['Agents of S.H.I.E.L.D. (Rewind)', 'Agents of S.H.I.E.L.D. (Ms. Marvel)', 'Agents of S.H.I.E.L.D. (Crushed)']",,,,,Asia
157,Barbershop Headquarters,"Havana, Cuba",,"['Agents of S.H.I.E.L.D. (Providence)', 'Agents of S.H.I.E.L.D. (Ragtag)', 'Agents of S.H.I.E.L.D. (Beginning of the End)']",,,,"['S.H.I.E.L.D.', 'HYDRA']",North America
158,Barcelona,Spain,,"['Daredevil (The Falcon and The Winter Soldier)', 'Daredevil (Loki)']",['Avengers: Infinity War Prelude'],,,,Europe
159,Barichara,Colombia,,['Loki (The Variant)'],,,,,South America
160,Barnes Residence,"Brooklyn, New York City, New York",,"['The Falcon and The Winter Soldier (New World Order)', 'The Falcon and The Winter Soldier (The Star-Spangled Man)']",,,,,North America
161,Barnroof Point,"Colorado, United States of America",,['Agents of S.H.I.E.L.D. (The Asset)'],,,,,North America
162,Baroque,"Moscow, Russia",,,['The Avengers Prelude: Black Widow Strikes'],,,,Europe
163,Barrow,"Alaska, United States of America",,['Agents of S.H.I.E.L.D. (T.R.A.C.K.S.)'],,,,,North America
