characterId,name,realName,gender,status,dob,dod
80,Alex Sokolov,Alex Sokolov,Male,Alive,,
81,Alex Tilden,Alexander Tilden,Male,Deceased,,
82,Alex Wesley,Alex Wesley,Male,Deceased,,Sep-17
83,Alex Wilder,Alex Wilder,Male,Alive,Early 2001,
84,Alex Wilder/Healing Algorithm,Alex Wilder,Male,Deleted,,Jan-18
85,Alex Wilder/Quantum Gravity Time Travel,Alex Wilder,Male,Deceased,Early 2001,
86,Alex Wilder/Time-Travelling Runaways,Alex Wilder,Male,Deceased,Early 2001,2021
87,Alexa Borel,Alexa Borel,Female,Alive,,
88,Alexander Pierce,Alexander Goodwin Pierce,Male,Deceased,,Early 2014
89,Alexander Pierce/Avengers Assassinated,Alexander Goodwin Pierce,Male,Alive,,
90,Alexander Pierce/Framework,Alexander Goodwin Pierce,Male,Deleted,2017 (Real World),2017
91,Alexander Pierce/New York Time Heist,Alexander Goodwin Pierce,Male,Alive,,
92,Alexander Smalls,Alexander Smalls,Male,Alive,,
93,Alexander the Great,Alexander III,Male,Deceased,,
94,Alexandra Reid,,Female,Deceased,,Spring 2016
95,Alexei (Inmate),Alexei,Male,Deceased,,2007
96,Alexei (Pig),Alexei,Male,Alive,,
97,Alexei Shostakov/Super Soldier Peggy Carter,Alexei Alanovich Shostakov (Алексей Аланович Шестаков),Male,Unknown,,
98,Alexi,Alexi,Male,Deceased,,Feb-16
99,Alflyse,Alflyse,Female,Deceased,,
100,Alfredo,Alfredo,Male,Alive,,
101,Ali Shaheed Muhammad,Ali Shaheed Muhammad,Male,Alive,,
102,Alice Hernandez,Alice Hernandez,Female,Deceased,,Late 2007[2]
103,Alice Hernandez/Dark Dimension,Alice Hernandez,Female,Unknown,,
104,Alice Shaw,Alice Shaw,Female,Alive,,
105,Alicia,Alicia,Female,Alive,,
106,Alioth,Alioth,Male,Alive,,
107,Alisa Jones,Alisa Campbell (maiden name)Alisa Jones,Female,Deceased,Early 1956[5],Mid-2017
108,Alisha Whitley,Alisha Whitley,Female,Deceased,,Jun-16
109,Alistair Fitz,Alistair Fitz,Male,Unknown,,
110,Alistair Fitz/Framework,Alistair Fitz,Male,Deleted,April 2017 (Real World),May-17
111,Aliza,Aliza,Female,Alive,,
112,Allegro,Allegro,Female,Alive,,
113,Allen,Allen,Male,Alive,,
114,Alligator Loki,Loki Laufeyson,Fluid (masculine appearance)[2],Alive,,
115,Allison Hattley,Allison Hattley,Female,Alive,,
116,Almeida,Almeida,Male,Alive,,
117,Alonso Barber,Alonso Barber,Male,Alive,,
118,Aloysius Samberly,Aloysius Herbert Samberly,Male,Alive,,
119,Alpha (Disciples of Ammit),,Male,Deceased,,Mid-2024
120,Alpha (Guest House),,Male,Deceased,,Late 2013[2] or Early 2014[3]
121,Alpha (New York),,Male,In Custody,,
122,Alpha Dog,,Male,Alive,,
123,Alphona,Alphona,Male,Alive,,
124,Alphonso Mackenzie,Alphonso Mackenzie,Male,Alive,1971–1972[24],
125,Alphonso Mackenzie/Cerebral Fusion Machine,Alphonso Mackenzie,Male,Deceased,2019,2019
126,Alphonso Mackenzie/Destroyed Earth,Alphonso Mackenzie,Male,Deceased,,Spring 2018
127,Alphonso Mackenzie/History Altered by Chronicoms,Alphonso Mackenzie,Male,Alive,1972,
128,Alphonso Mackenzie/Life-Model Decoy,Alphonso Mackenzie,Male (masculine programming and voice),Destroyed,Apr-17,Apr-17
129,Alva Ramirez,Alva Ramirez,Female,Alive,,
130,Alvarez,Alvarez,Female,Alive,,
131,Alves,Alves,Male,Alive,,
132,Aly Goodner,Aly Goodner,Female,Alive,,
133,Alya Fitz,Alya Fitz,Female,Alive,2020,
134,Alya Shaw,Alya FitzAlya Shaw,Female,Deceased,,
135,Alya Shaw/Monolith Recreation,Alya Shaw,Female,Destroyed,"December 18, 2017","December 18, 2017"
136,Amalia Chavez,Amalia Chavez,Female,Unknown,,
137,Amanda Campbell,Amanda Campbell,Female,Alive,,
138,Amanda Carter,Amanda Carter[1],Female,Deceased,,
139,Amanda Garmon,Amanda Garmon,Female,Alive,,
140,Amanda Kirchhoff,Amanda Kirchhoff,Female,Alive,,
141,Amazing Spider-Man,Peter Benjamin Parker,Male,Alive,,
142,Amber (New York Bulletin),Amber,Female,Deceased,,
143,Amber (Prostitute),Amber,Female,Alive,,
144,Ambur,Ambur,Female,Deceased,,
145,Amelia King,Amelia King,Female,Alive,,
146,America Chavez,America Chavez,Female,Alive,,
147,Amir,Amir,Male,Alive,,
148,Amira Ahmed,Amira Ahmed,Female,Alive,,
149,Amit,Amit,Male,Alive,,
150,Ammit,Ammit,Female,Deceased,,Mid-2024
151,Amos,,Male,Alive,,
152,Amy,Amy,Female,Deleted,2017 (Real World),2017
153,Amy Bendix,Amy Bendix,Female,Alive,,
154,Amy Minoru,Amy Minoru,Female,Deceased,1998-1999,Late 2015
155,Ana,Ana,Female,Alive,,
156,Ana Helstrom,Ana Helstrom,Female,Alive,,
157,Ana Jarvis,Ana Jarvis,Female,Alive,,
158,Ana Maria,Ana Maria,Female,Alive,,
159,Ana Silva,Ana Silva,Female,Alive,,
160,Analyst 1182-E,,Male,Alive,,
161,Anansi,Paul Mackintosh,Male,Deceased,,Sep-17
162,Anatoly Ranskahov,Anatoly Ranskahov (Анатолий Ранскагов),Male,Deceased,,Early 2015
163,Ancient One,,Female,Deceased,1316–1317[2],Early 2017
164,Ancient One/Corrupted Doctor Strange,,Female,Deceased,,Early 2017
165,Ancient One/New York Time Heist,,Female,Alive,,
166,Andaz,Andaz,Male,Alive,,
167,Anderson (Agent),Anderson,Male,Alive,,
168,Anderson (Captain),Anderson,Female,Alive,,
169,Anderson (Representative),Anderson,Male,Alive,,
170,Anderson (Technician),Anderson,Male,Deceased,,"January 12, 2014"
171,Anderson Schultz,Anderson Schultz,Male,Deceased,,Spring 2018
172,Andre,Andre,Male,Alive,,
173,Andre Compton,Andre Compton,Male,Deceased,,Dec-17
174,Andre Rostov,Andre Rostov,Male,Alive,,
175,Andre Wilson,Andre Wilson,Male,Alive,,Spring 2018 (victim of the Snap; resurrected by Hulk in 2023)
176,Andrea Morales,Andrea Morales,Female,Alive,,
177,Andrea Valdez,Andrea Valdez,Female,Alive,1953,
178,Andrei Veznikov,Andrei Veznikov (Андрей Везников),Male,Alive,,
179,Andrew Brandt,Andrew Brandt,Male,In Custody,,
180,Andrew Garner/Framework,Andrew Garner,Male,Deleted,2017 (Real World),2017
181,Andrew Henry,Andrew Henry,Male,Deceased,,"July 11, 1947"
182,Andrew Lee,Andrew Lee,Male,Alive,,
183,Andrews,Andrews,Male,Alive,,
184,Androvich,Androvich (Андреевич),Male,Deceased,,Mar-16
185,Aneka,Aneka,Female,Alive,,
186,Angel Peart,Angel Peart,Female,Alive,,
187,Angela del Toro,Angela del Toro,Female,Alive,,
188,Angie (Clerk),Angie,Female,Alive,,
189,Angie (Nurse),Angie,Female,Alive,,
190,Angie Martinelli,Angela Martinelli,Female,Alive,,
191,Anibal Izqueda,Anibal Izqueda,Male,Alive,,
192,Anitolov,Anitolov,Male,In Custody,,
193,Anna Nelson,Anna Nelson,Female,Alive,,
194,Anna Ward,Anna Ward,Female,Alive,,
195,Anna Zakarian,Anna Zakarian,Female,Alive,,
196,Anne Marie Hoag,Anne Marie Hoag,Female,Alive,,
197,Anne Weaver,Anne Weaver,Female,Alive,,
198,Anneka Sunden,Anneka Sunden,Female,Alive,,
199,Annie Wellers,Annie Wellers,Female,Alive,,
200,Annika Pergament,Annika Pergament,Female,Alive,,
201,Anon,Anon,Female,Alive,,
202,Ant-Man,Scott Edward Harris Lang,Male,Alive,,
203,Ant-Man (Actor),,Male,Alive,,
204,Ant-Man/Zombie Outbreak,Scott Edward Harris Lang,Male,Alive,,
205,Ant-thony,,Female,Deceased,,Aug-15
206,Ant-tonio Banderas,,Male,Deceased,,Spring 2018
207,Anthony Rocha,Anthony Rocha,Male,Deceased,1989-1991[1],2009-2010[1]
208,Antoine Grier,Antoine Grier,Male,Alive,,
209,Antoine Triplett,Antoine Triplett,Male,Deceased,,Mar-15
210,Antoine Triplett/Framework,Antoine Triplett,Male,Deleted,2017 (Real World),2017
211,Anton Mogart,Anton Mogart,Male,Unknown,,
212,Anton Petrov,Anton Petrov,Male,Deceased,,Mar-16
213,Anton Reed,Anton Reed,Male,Deceased,,Spring 2018
214,Anton Vanko,Anton Vanko (Антон Ванко),Male,Deceased,,"November 25, 2009[1][2]"
215,Anya,Anya,Female,Deceased,,"April 24, 1937[1]"
216,April Van Kempen,April Van Kempen,Female,Alive,Oct-14,
217,Aragorn,Aragorn,Male,Alive,,
218,Archaeologist,,Male,Alive,,
219,Archer Cavallo,Archer Cavallo,Male,Alive,,
220,Ares,Ares,Male,Unknown,,
221,Ariann,,Female,Alive,,
222,Arinori,Arinori,Male,Deceased,,Late 2017
223,Arishem the Judge,Arishem,Male,Alive,,
224,Arkon,Arkon,Male,Fictional,,
225,Arlene,Arlene,Female,Alive,,
226,Arlene French,Arlene French,Female,Alive,,
227,Arlene Willoughby,Arlene Willoughby,Female,Deceased,,2013
228,Armand Duquesne III,Armand Duquesne III,Male,Deceased,,"December 19, 2024"
229,Armand Duquesne VII,Armand Duquesne VII,Male,Alive,,
230,Armand Tully,Armand Tully,Male,Alive,,
231,Arnim Zola,Arnim Zola,Male,Deceased (organic form)Destroyed (A.I form),,1972 (organic form)Early 2014 (A.I form)
232,Arnim Zola/Age of Ultron,Arnim Zola,Male,"Deceased (organic form)Active (A.I. form, trapped in pocket dimension)",,1972 (organic form)
233,Arnim Zola/Camp Lehigh Time Heist,Arnim Zola,Male,Alive,,
234,Arnim Zola/Super Soldier Peggy Carter,Arnim Zola,Male,In Custody,,
235,Artemis,Artemis,Female,Alive,,
236,Arthur Harrow,Arthur Harrow,Male,Deceased,,Mid-2024
237,Arthur Harrow/Duat,Arthur Harrow,Male,Unknown,,
238,Arthur Vistain,Arthur Vistain,Male,Deceased,,
239,Arthur Walsh,Arthur Walsh,Male,Deceased,,Spring 2018
240,Arturo Rey III,Arturo Gomez III (birth name)Arturo Rey III,Male,Deceased,,Aug-17
241,Arvell Jones,Arvell Jones,Male,Alive,,
242,Asa Henderson,Asa Henderson,Male,In Custody,,
243,Ash,Ash,Male,Alive,,
244,Ashlie,Ashlie,Female,Alive,,
245,Aslan,Aslan (Аслан),Male,Alive,,
246,Atarah,Atarah,None (feminine appearance & voice),Deceased,,Mid-2019
247,Athena,Athena,Female,Fictional,,
248,Att-Lass,Att-Lass,Male,Alive,,
249,Att-Lass/Skrull,,Male,Deceased,,June 1995[1]
250,Attaché,,Male,Alive,,
251,Aubree Richards,Aubree Richards,Female,Deceased,,Late 2020/2021
252,Aubrey Richmond,Aubrey Richmond,Female,Alive,,
253,Audrey,Audrey,Female,Alive,,
254,Audrey Eastman,Audrey Eastman,Female,Alive,,
255,Audrey Nathan,Audrey Nathan,Female,Alive,,
256,Audrey Nathan/Framework,Audrey Nathan,Female,Deleted,,2017
257,Augie,Augie,Male,Alive,,
258,August D'Angelo,August D'Angelo,Male,Alive,,
259,Aura,Aura,Female,Alive,,
260,Auran,Auran,Female,Alive,,"2016 (three times; resurrected first, second and third)"
261,Ava,Ava,Female,Alive,,
262,Avalon,Avalon,Female,Alive,,
263,Avery,Avery,Male,Alive,,
264,Aviva,Aviva,Female,Alive,,
265,AWOL,Anthony Wall,Male,Alive,,
266,Axl,Astrid Heimdallson,Male,Alive,,
267,Ayesha,Ayesha,Female,Alive,,
268,Ayesha/Party Prince Thor,Ayesha,Female,Alive,,
269,Ayla Perez,Ayla Perez,Female,Alive,"February 5, 1958",
270,Ayo,Ayo,Female,Alive,,
271,Ayo/Killmonger's War,Ayo,Female,Alive,,
272,Azumi Ozawa,Ozawa Azumi (小澤杏美),Female,Deceased,,
273,Azzuri,Azzuri,Male,Deceased,,1980s
274,B'sso,B'sso,Male,Alive,,
275,B. Hornbuckle,B. Hornbuckle,Male,Alive,,
276,B. Robinson,B. Robinson,,Deceased,,2016
277,Baal-Gad,Baal-Gad,None (masculine appearance & voice),Alive,,
278,Badu,Badu,Male,Unknown,,
279,Baker (Dog),Baker,Male,Alive,,
280,Baker (Firefighter),Baker,Male,Alive,,
281,Baker (Mayor),Baker,Male,Alive,1925,
282,Baker (Terrorist),Baker,Male,Alive,,
283,Bakuto,Bakuto,Male,Deceased,,February 2016 (later resurrected)Spring 2016
284,Baldo,,Male,Alive,,
285,Bambi Arbogast,Bambina Teresa Bliss Arbogast,Female,Alive,,
286,Banker,,Male,Deceased,,Apr-15
287,Bao,Bao,Male,Alive,,
288,Barack Obama,Barack Hussein Obama II,Male,Alive,,
289,Barb,Barb,Female,Alive,,
290,Barbara Shlottman,Barbara Shlottman,Female,Deceased,,Winter 2015
291,Barbour,Barbour,Male,Alive,,
292,Barney Balkoff,Bernard Balkoff,Male,Alive,,
293,Baron Mordo/Illuminati Assembled,Karl Amadeus Mordo,Male,Alive,,
294,Baron Strucker,Wolfgang von Strucker,Male,Deceased,,May-15
295,Baron Zemo,Helmut Zemo,Male,In Custody,1978[1],
296,Baroness,,Female,Deceased,,Apr-15
297,Barrie,Barrie,Male,Alive,,
298,Barry Hapgood,Barry Hapgood,Male,Alive,,
299,Bart,Bart,Male,Deceased,,Spring 2018
300,Basar,Basar,Male,Deceased,,Late 2020/2021
301,Basha,Basha,Female,Alive,,
302,Bashenga,Bashenga,Male,Deceased,c. 7984 BC[2],
303,Bashenga/Killmonger's War,Bashenga,Male,Deceased,,
304,Bast,Bast,Female,Alive,,
305,Bast/Killmonger's War,Bast,Female,Alive,,
306,Battlestar,Lemar Hoskins,Male,Deceased,,Spring 2024
307,Baxter,Baxter,Male,Alive,,
308,Baylin,Baylin,Male,Alive,,
309,BB,,Male,Deceased,,Late 2017[3]
310,Beast,,Male,Deceased,,2091
311,Becca Yoo,Becca Yoo,Female,Alive,,
312,Beckman,Beckman,Male,Alive,,
313,Beerbot 5000,Beerbot 5000,Male (masculine programming and voice),Active,,
314,Beerbot 5000/Ravager T'Challa,Beerbot 5000,Male (masculine programming and voice),Active,,
315,Beetle,Abner Jenkins,Male,In Custody,,
316,Bek,Bek,Male,Unknown,,
317,Bek/Duat,Bek,Male,Unknown,,
318,Belenka,Belenka,Female,Alive,,
319,Belinda,Belinda,Female,Unknown,,
320,Ben,Ben,Male,Deceased,,2091
321,Ben Parker,Benjamin Franklin Parker,Male,Deceased,,
322,Ben Parker/Zombie Outbreak,Benjamin Franklin Parker,Male,Deceased,,
323,Ben Urich,Benjamin Urich,Male,Deceased,,Early 2015
324,Ben Zhou,Ben Zhou,Male,Deceased,,
325,Benjamin Donovan,Benjamin Donovan,Male,Alive,,
326,Benjamin Poindexter,Benjamin Poindexter,Male,In Custody,,
327,Benjamin Pollack,Benjamin Pollack,Male,Alive,,
328,Bennett,Bennett,Male,Alive,,
329,Benny,Benny,Male,Alive,,
330,Berchel,Berchel,Male,Alive,,
331,Bereet,Bereet,Female,Alive,,
332,Beringer,Beringer,Male,Deceased,,1947
333,Berkowitz,Berkowitz,Male,Alive,,
334,Bernard,Bernard,Male,Alive,,
335,Bernard Sanjo,Bernard Sanjo,Male,Alive,,
336,Bernard Stark,Bernard Stark,Male,Alive,,
337,Bernhold Renner,Bernhold Renner,Male,Alive,,
338,Bernie,Bernie,,Alive,,
339,Bernie Cohen,Bernie Cohen,Male,Alive,,
340,Bernie Walker,Bernard Walker,Male,Alive,,
341,Bert,Bert,Male,Alive,,
342,Bert Hunter,Bert Hunter,Male,Alive,,
343,Bertrand Crawley,Bertrand Crawley,Male,Alive,,
344,Bertrand Crawley/Duat,Bertrand Crawley,Male,Unknown,,
345,Bess Mahoney,Bess Mahoney,Female,Alive,,
346,Bessie,Bessie,Female,,,
347,Beta (Disciples of Ammit),,Male,Deceased,,Mid-2024
348,Beta (Guest House),Bob,Male,Deceased,,Late 2013[2] or Early 2014[3]
349,Beta Ray Bill,Beta Ray Bill,Male,Unknown,,
350,Beth,Beth,Female,Alive,,
351,Beth Quinn,Beth Quinn,Female,Alive,,
352,Bethany (Date),Bethany,Female,Alive,,
353,Bethany (NA Meeting),Bethany,Female,Alive,,
354,Betsy Beatty,Betsy Beatty,Female,Alive,,
355,Betty Audrey,Betty Audrey,Female,Alive,,
356,Betty Brant,Elizabeth Brant,Female,Alive,2001,Spring 2018 (victim of the Snap; resurrected by Hulk in 2023)
357,Betty Carver,Elizabeth Carver,Female,Fictional,,
358,Betty Ross,Elizabeth Ross,Female,Alive,,Spring 2018 (victim of the Snap; resurrected by Hulk in 2023)
359,Betty Ross/Avengers Assassinated,Elizabeth Ross,Female,Alive,,
360,Bezerra,Bezerra,Male,Alive,,
361,Bi-Beast,Bi-Beast,Male,Unknown,,
362,Bianchi,Bianchi,Male,Alive,,
363,Bicycle Loki,Loki Laufeyson,Fluid (masculine appearance & voice),Alive,,
364,Biff (Nevada),Biff,Male,Alive,,
365,Biff (Rebellion),Biff,Male,Alive,,
366,Biff (Rebellion)/Party Prince Thor,Biff,Male,Alive,,
367,Big Al,,Male,Deceased,,"February 8, 2016"
368,Big Gipp,Cameron Gipp,Male,Alive,,
369,Big Harv,Harv,Male,Alive,,Spring 2018 (victim of the Snap; resurrected by Hulk in 2023)
370,Bill Brummond,Bill Brummond,Male,Unknown,,
371,Bill Clinton,William Jefferson Clinton,Male,Alive,,
372,Bill Fisk,William Fisk,Male,Deceased,,1970s[2][3][4]
373,Bill Foster,William Barrett Foster,Male,Alive,,
374,Bill Maher,William Maher,Male,Alive,,
375,Bill Mantlo,William Mantlo,Male,Alive,,
376,Bill Norris,William Norris,Male,In Custody,,
377,Bill O'Reilly,"William James O'Reilly, Jr.",Male,Alive,,
378,Bill Phippen,Bill Phippen,Male,Alive,,
379,Billy (Nurse),Billy,Male,Alive,,
380,Billy (Patient),Billy,Male,Alive,,
381,Billy (Security Guard),Billy,Male,Alive,,
382,Billy Fitzgerald,William Fitzgerald,Male,Deceased,,Mid-2024
383,Billy Fitzgerald/Duat,Billy Fitzgerald,Male,Unknown,,
384,Billy Johnson,William Johnson,Male,Deceased,"August 1, 1990[5][6]","February 25, 2009[7][1]"
385,Billy Johnson/Tandy Bowen Drug Addict,Billy Johnson,Male,Deceased,,
386,Billy Johnson/Tandy Bowen Engineer,William Johnson,Male,Alive,,
387,Billy Johnson/Tandy Bowen's Perfect Life,William Johnson,Male,Alive,"August 1, 1990",
388,Billy Koenig,William Koenig,Male,Alive,,
389,Billy Koenig/Framework,William Koenig,Male,Deceased,,2017 (Real World)
390,Billy Maximoff,William Maximoff,Male,Deleted,November 2023 (real world),November 2023 (real world)
391,Billy Maximoff/Illuminati Assembled,William Maximoff,Male,Alive,,
392,Billy Peskers,Billy Peskers,,Alive,1980-1982,Spring 2018 (victim of the Snap; resurrected by Hulk in 2023)
393,Birdie,,Female,Alive,,
394,Bjorn,Bjorn,Male,Deceased,,Nov-13
395,Black Bolt,Blackagar Boltagon,Male,Alive,,
396,Black Bolt/Illuminati Assembled,Blackagar Boltagon,Male,Deceased,,"February 12, 2021[2]"
397,Black Dwarf/Ravager T'Challa,Black Dwarf,Male,Deceased,,2008
398,Black Mariah,Mariah Stokes (birth name)Mariah Dillard,Female,Deceased,,Sep-17
399,Black Panther,T'Challa,Male,Alive,Early 1980s[9],Spring 2018 (victim of the Snap; resurrected by Hulk in 2023)
400,Black Panther/Killmonger's War,T'Challa,Male,Deceased,,2009
401,Black Panther/Zombie Outbreak,T'Challa,Male,Alive,,
402,Black Roger,Roger,Male,Unknown,,
403,Black Sky,,Male,Deceased,,Early 2015
404,Black Widow,Natalia Alianovna Romanoff (Наталья Альяновна Романов),Female,Deceased,"December 3, 1984[15][6]",August 2014 (time-traveled from October 2023)
405,Black Widow (Actress),,Female,Alive,,
406,Black Widow/Age of Ultron,Natalia Alianovna Romanoff (Наталья Альяновна Романов),Female,Alive,,
407,Black Widow/Avengers Assassinated,Natalia Alianovna Romanoff (Наталья Альяновна Романов),Female,Deceased,,"June 2, 2010"
408,Black Widow/New York Time Heist,Natalia Alianovna Romanoff (Наталья Альяновна Романов),Female,Alive,"December 3, 1984[2]",
409,Black Widow/Super Soldier Peggy Carter,Natalia Alianovna Romanoff (Наталья Альяновна Романов),Female,Alive,,
410,Black Widow/Zombie Outbreak,Natalia Alianovna Romanoff (Наталья Альяновна Романов),Female,Zombified,,
411,Blackout,Marcus Daniels,Male,Deceased,"November 11, 1972[3][2]",Early 2014
412,Blackwell,Blackwell,Male,In Custody,,
413,Blade,Eric Cross Brooks,Male,Alive,,
414,Blake Tower,Blake Tower,Male,Alive,,
415,Blind Beggar,,Male,Alive,,
416,Blizzard,Donald Gill,Male,Unknown,1995,
417,Blonde Zealot,,Female,Alive,,
418,Blue,,Female,Alive,,
419,Blum,Blum,Male,Alive,,
420,Bo,Bo,Male,Alive,,
421,Boastful Loki,Loki Laufeyson,Fluid (masculine appearance and voice)[2],Alive,,
422,Boaz,Boaz,None (masculine appearance & voice),Alive,,
423,Bob Shlottman,Robert Shlottman,Male,Deceased,,Winter 2015
424,Bob Wick,Bob Wick,Male,Deceased,,Spring 2018[1]
425,Bobbi Kennedy,Bobbi Kennedy,Female,Alive,,
426,Bobbi Kennedy/Duat,Bobbi Kennedy,Female,Unknown,,
427,Bobbi Morse,Barbara Morse,Female,Alive,,
428,Bobby (Brooklyn),Bobby,Male,Alive,,
429,Bobby (Jigsaw's Crew),Bobby,Male,Deceased,,Spring 2018
430,Bobby (Patron),Bobby,Male,Alive,,
431,Bobby Fish,Bobby Fish,Male,Alive,,
432,Bobby McBurty,Bobby McBurty,Male,Alive,,
433,Bober,Bober,Male,Deceased,,
434,Bobo Smith,Bobo Smith,Male,Unknown,,
435,Bodega Bandit,,Male,In Custody,,
436,Bodhi,Bodhi,Male,Alive,,
437,Bom'Galiath,Bom'Galiath,Male,Alive,,
438,Bonesaw McGraw,McGraw,Male,Alive,,
439,Bonnie,Bonnie,Female,Alive,,
440,Bor,Bor Burison,Male,Deceased,,
441,Boris Yeltsin,Boris Nikolayevich Yeltsin (Борис Николаевич Ельцин),Male,Deceased,,
442,Bounty Hunter,,Male,Alive,,
443,Bowers,Bowers,Male,Alive,,
444,Bowie,Bowie,Male,Alive,,
445,Boyle,Boyle,Male,Deceased,,Mid-2019
446,Boynton,Boynton,Male,Alive,,
447,Brad (Nurse),Brad,Male,Alive,,
448,Brad (Sokovian),Brad,Male,Alive,,
449,Brad Davis,Brad Davis,Male,Alive,July – December 2007[1],
450,Braddock,Braddock,,Unknown,,
451,Bradford,Bradford,Male,Deceased,,"July 9, 2017[1]"
452,Bradley,Bradley,Male,Deceased,,
453,Brahl,Brahl,Male,Deceased,,October 2014[1]
454,Brandon,Brandon,Male,Alive,,
455,Brandon Gamble,Brandon Gamble,Male,Alive,,
456,Brandt,Brandt,Male,Alive,,
