locationId,name,state,continent
85,Apartment 6F,"New York City, New York",North America
86,Apollo Theater,"New York City, New York",North America
87,Arago-7,,
88,Aranda de Duero,Spain,Europe
89,Arctic,Northernmost Part of the Earth,AsiaNorth AmericaEurope
90,Arctic HYDRA Research Facility,Arctic,
91,Arcturus,,
92,Area 51,"Nevada, United States of America",North America
93,Arena Club,"Los Angeles, California",North America
94,Argentina,Earth,South America
95,Arizona,United States of America,North America
96,Arkansas,United States of America,North America
97,Arlington,"Virginia, United States of America",North America
98,Arlington Hall,"Arlington, Virginia",North America
99,Armenia,Earth,AsiaEurope
100,Armidale,Australia,Oceania
101,Armonk,"New York, United States of America",North America
102,Arnsberg,Germany,Europe
103,Arthur Walsh's Residence,"Bensonhurst, Brooklyn, New York City, New York",North America
104,Asgard,Nine Realms,
105,Asgardian Catacombs,"Royal Palace of Valaskjalf, Asgard",
106,Asgardian Dungeons,Asgard,
107,Asgardian Gold Mine,Asgard,
108,Asgardian Theater,Asgard,
109,Ashmyany,Belarus,Europe
110,Asia,Earth,
111,Astral Dimension,Multiverse,
112,Asunción,Paraguay,South America
113,ATCU Storage Facility,"South Bend, Indiana",North America
114,ATF Field Office,"Wall Street, New York City, New York",North America
115,Athens,Greece,Europe
116,Athens–Clarke County,"Georgia, United States of America",North America
117,Atlanta,"Georgia, United States of America",North America
118,Atlantic City,"New Jersey, United States of America",North America
119,Atlantis,Earth,
120,Atlas Academy,"Los Angeles, California",North America
121,Attilan,Moon (formerly)Earth,
122,Attilan Mines,"Attilan, Moon",
123,Auburndale Art School,"Brooklyn, New York City, New York",North America
124,Auerbach Theatrical Agency,"Los Angeles, California",North America
125,Augsburg,Germany,Europe
126,Augusta,"Georgia, United States of America",North America
127,Aurangabad,India,Asia
128,Austin,"Texas, United States of America",North America
129,Australia,Earth,Australia
130,Austria,Earth,Europe
131,Austrian HYDRA Weapons Facility,"Austria, Nazi Germany",Europe
132,Avalon (California),"California, United States of America",North America
133,Avengers Compound,New York,North America
134,Avengers Tower,"New York City, New York",North America
135,Aztec Empire,Earth,North America
136,Azzano,Italy,Europe
137,Babylon,Mesopotamia (formerly)Iraq,Asia
138,Bad Wiessee,Germany,Europe
139,Badoon Worlds,,
140,Baffin Island,Canada,North America
141,Baghdad,Iraq,Asia
142,Bagram,Afghanistan,Asia
143,Bagram Air Base,"Bagram, Afghanistan",Asia
144,Bahamas,Earth,North America
145,Bahrain,Earth,Asia
146,Bailey's Auction House,"New York City, New York",North America
147,Baja California,Mexico,North America
148,Bakersfield,"California, United States of America",North America
149,Bakhmala,Afghanistan,Asia
150,Ball State University,"Muncie, Indiana",North America
151,Baltimore,"Maryland, United States of America",North America
152,Baltimore Police Station,"Baltimore, Maryland",North America
153,Baltimore-Washington International Thurgood Marshall Airport,"Baltimore, Maryland",North America
154,Bandung,Indonesia,Asia
155,Bangkok,Thailand,Asia
156,Bangladesh,Earth,Asia
157,Barbershop Headquarters,"Havana, Cuba",North America
158,Barcelona,Spain,Europe
159,Barichara,Colombia,South America
160,Barnes Residence,"Brooklyn, New York City, New York",North America
161,Barnroof Point,"Colorado, United States of America",North America
162,Baroque,"Moscow, Russia",Europe
163,Barrow,"Alaska, United States of America",North America
164,Bart's Apartment,"New York City, New York",North America
165,Baskin-Robbins,"New York City, New YorkSan Francisco, California",North America
166,Basra,Iraq,Asia
167,Bastogne,Belgium,Europe
168,Batesville,"Utah, United States of America",North America
169,Batiment B3,France,Europe
170,Baton Rouge,"Louisiana, United States of America",North America
171,Battle of New York Memorial,"New York City, New York",North America
172,Bavarian Alps,Germany,Europe
173,Bay Ridge Rail Yard,"Brooklyn, New York City, New York",North America
174,Bayard Community Center,"Chinatown, New York City, New York",North America
175,Bayou Brothers Truck Stop,New Orleans,North America
176,Beaconsfield,"England, United Kingdom",Europe
177,Beaumaire High School,"New Orleans, Louisiana",North America
178,Bedford,"New York, United States of America",North America
179,Beijing,China,Asia
180,Beirut,Lebanon,Asia
181,Belarus,Earth,Europe
182,Belfast,"Northern Ireland, United Kingdom",Europe
183,Belgium,Earth,Europe
184,Belgrade,SerbiaYugoslavia (formerly),Europe
185,Belize,Earth,North America
186,Bella Coola,"British Columbia, Canada",North America
187,Belmont,"Washington, United States of America",North America
188,Ben Urich's Apartment,"New York City, New York",North America
189,Benghazi,Earth,Africa
190,Benin,Earth,Africa
191,Benjamin Poindexter's Apartment,"2312 King Street, New York City, New York",North America
192,Berhert,,
193,Berkeley,"California, United States of America",North America
194,Berlin,Germany,Europe
195,Berlin Correctional Facility,"Berlin, Germany",Europe
196,Bermuda,Earth,North America
197,Bermuda Triangle,North Atlantic Ocean,
198,Bern,Switzerland,Europe
199,Bess Mahoney's Apartment,"New York City, New York",North America
200,Beth Quinn's Apartment,Michigan,North America
201,Bethesda,"Maryland, United States of America",North America
202,Bethlehem,Palestine,Asia
203,Beverly Hills,"Los Angeles County, California",North America
204,Bhusawal,India,Asia
205,Bhutan,Earth,Asia
206,Biała Podlaska,Poland,Europe
207,Big Ern's Ammo Emporium,United States of America,North America
208,Bihar,"India, Asia",Asia
209,Bilbao,Spain,Europe
210,Birch Psychiatric Hospital,"New York City, New York",North America
211,Birmingham,England,Europe
212,Birthing Chamber,Sovereign,
213,Bishop Family Cemetery,"New York City, New York",North America
214,Bishop Residence,"New York City, New York",North America
215,Bishop Security Headquarters,"New York City, New York",North America
216,Black Box,"Los Angeles, California",North America
217,Black Hills,"South Dakota, United States of America",North America
218,Black Raven Tavern,"New Asgard, Norway",Europe
219,Bletchley Park,"Milton Keynes, England",Europe
220,Blood Hotel,"Portland, Oregon",North America
221,Bloom Estate Winery,United States of America,North America
222,Blue Raven Ridge,United States of America,North America
223,Bob's Market,"Cincinnati, Ohio",North America
224,Bogotá,Colombia,South America
225,Bolivia,Earth,South America
226,Bombay Spice,"Jersey City, New Jersey",North America
227,Boot of Jemiah,"Exitar, Knowhere",
228,Bora Bora,French Polynesia,Oceania
229,Border Village,Wakanda,Africa
230,Bosnia and Herzegovina,Earth,Europe
231,Boston,"Massachusetts, United States of America",North America
232,Bowen Residence,"New Orleans, Louisiana",North America
233,Bowery Savings Bank,"New York City, New York",North America
234,Bozeman,"Montana, United States of America",North America
235,Bradley Residence,"Baltimore, Maryland",North America
236,Brass Monkey Saloon,Madripoor,Asia
237,Brasserie,"New York City, New York",North America
238,Bratislava,Slovakia,Europe
239,Brazil,Earth,South America
240,Bremen,Germany,Europe
241,Brigid O'Reilly's Apartment,"New Orleans, Louisiana",North America
242,Brisbane,Australia,Oceania
243,Bristol,"England, United Kingdom",Europe
244,British Columbia,Canada,North America
245,British Museum,"London, England",Europe
246,Broek op Langedijk,Netherlands,Europe
247,Broker's Shop,Xandar,
248,Bronx V.A. Medical Center,"Bronx, New York City, New York",North America
249,Brookemont Elementary School,"San Francisco, California",North America
250,Brooklyn Bridge,"New York City, New York",North America
251,Brooklyn Karate Academy,"New York City, New York",North America
252,Brown University,"Providence, Rhode Island",North America
253,Broxton,"Oklahoma, United States of America",North America
254,Bruce Banner's Apartment Building,"Rocinha, Rio de Janeiro, Brazil",South America
255,Bruce Banner's Hideout,"Bella Coola, British Columbia, Canada",North America
256,Bruges,Belgium,Europe
257,Bruno Carrelli's Apartment,"Jersey City, New Jersey",North America
258,Brynmore Psychiatric Facility,"Muskingum County, Ohio, United States of America",North America
259,Buccaneer Bay,Madripoor,Asia
260,Bucharest,Romania,Europe
261,Buck's,United States of America,North America
262,Bucky Barnes' Apartment,"Bucharest, Romania",Europe
263,Bud Schultz's House,"Broxton, Oklahoma",North America
264,Budapest,Hungary,Europe
265,Buenos Aires,Argentina,South America
266,Buffalo,"New York, United States of America",North America
267,Buguma,Nigeria,Africa
268,Buildwell Wood Shop,"New Orleans, Louisiana",North America
269,Bujumbura,Burundi,Africa
270,Bulgaria,Earth,Europe
271,Burgos (city),Spain,Europe
272,Burkina Faso,Earth,Africa
273,Burkov Mining Facility,"Krasnoyarsk Krai, Russia",Europe
274,Burma,Earth,Asia
275,Burren Club,"New York City, New York",North America
276,Burundi,Earth,Africa
277,Busan,South Korea,Asia
278,Bywater Station House,"New Orleans, Louisiana",North America
279,Børgheim,"Norway, Europe",Europe
280,Cabo San Lucas,"Baja California, Mexico",North America
281,Cadre Headquarters,"Brooklyn, New York City, New York",North America
282,Caesars Palace,"Las Vegas, Nevada",North America
283,Cairo,Egypt,Africa
284,Cairo West Air Base,"Cairo, Egypt",Africa
285,Calco,Italy,Europe
286,Calderwood Auction House,"New York City, New York",North America
287,Caldes de Montbui,Spain,Europe
288,Caldwell,"Essex County, New Jersey",North America
289,Calgary,Canada,North America
290,California,United States of America,North America
291,California Centipede Base,"Los Angeles, California",North America
292,California Institute of Technology,"Pasadena, California",North America
293,Callisto Aerospace Control Center,California,North America
294,Calvin Zabo's Building,"Milwaukee, Wisconsin",North America
295,Calvin Zabo's Clandestine Clinic,United States of America,North America
296,Cambodia,Earth,Asia
297,Cambridge,"Massachusetts, United States of America",North America
298,Camden Lock,"London, England",Europe
299,Camp Lehigh,"Wheaton, New Jersey",North America
300,Campervan Hideout,"33 128th PI, Corona, New York City, New York",North America
301,Canada,Earth,North America
302,Canberra,Australia,Oceania
303,Canelo's Auto and Body,"Los Angeles, California",North America
304,Cannes,France,Europe
305,Caretaker's House,,North America
306,Carlo IV Hotel,"Prague, Czech Republic",Europe
307,Carson Wolf's Residence,"New York City, New York",North America
308,Carter Residence,"Columbia Heights, Washington, D.C.",North America
309,Carthan,,
310,Casablanca,Morocco,Africa
311,Casino Lisboa,"Macau, China",Asia
312,Cassaro Gallery,"New York City, New York",North America
313,Castillo San Cristóbal,"San Juan, Puerto Rico",North America
314,Castle de Krake,"Black Forest, Germany",Europe
315,Castle Kaufmann,"Bavarian Alps, Germany",Europe
316,Castle Residence,"New York City, New York",North America
317,Castle Rock Tower,"Tønsberg, Norway",Europe
318,Castle Zemo,Germany,Europe
319,Cavallo Residence,"Salem, Oregon",North America
320,Cave of Ages,Niflheim,
321,Cave of the Dragon,K'un-Lun,
322,Cayman Islands,Earth,North America
323,Cecil's,"Harlem, Manhattan, New York City, New York",North America
324,Cedar Grove,"New Jersey, United States of America",North America
325,Cedar Rapids,"Iowa, United States of America",North America
326,Central African Republic,Earth,Africa
327,Central Bank,Tarnax IV,
328,Central London Storage,"London, England",Europe
329,Central New York City Gymnasium,"New York City, New York",North America
330,Central Park,"New York City, New York",North America
331,Centuri-Six,,
332,Cerberus Squad Compound,"Kandahar, Afghanistan",Asia
333,Chadwick Ranch,"Los Angeles, California",North America
334,Chadwick Residence,"Los Angeles, California",North America
335,Chan Ho Yin's House,"Hong Kong, China",Asia
336,Chandler,"Arizona, United States of America",North America
337,Charing Cross Railway Station,"London, England",Europe
338,Charles Bridge,"Prague, Czech Republic",Europe
339,Charleston,"South Carolina, United States of America",North America
340,Charlotte,North Carolina,North America
341,Charmont Jewelers,"Cincinnati, Ohio, United States of America",North America
342,Chatsworth High School,"New Orleans, Louisiana",North America
343,Chattanooga,"Tennessee, United States of America",North America
344,Chaves,Portugal,Europe
345,Chechnya,Russia,Europe
346,Chen Residence,"San Francisco, California",North America
347,Cheng Consulting Management Offices,"New York City, New York",North America
348,Chernobyl,Soviet Union (formerly)Ukraine,Europe
349,Chiapas,Mexico,North America
350,Chicago,"Illinois, United States of America",North America
351,Chichester,"England, United Kingdom",Europe
352,Chihuahua,Mexico,North America
353,Chikara Dojo,"47 Monroe Street[1][2][3], Chinatown, New York City, New York",North America
354,Chile,Earth,South America
355,China,Earth,Asia
356,Chinatown Crew Headquarters,"Los Angeles, California",North America
357,Chinatown Crew Hideout,"Los Angeles, California",
358,Chino,California,North America
359,Chris French Cleaners,"New York City, New York",North America
360,Chronyca-2,,
361,Chrysler Building,"405 Lexington Avenue, New York City, New York",North America
362,Church of All Saints Hospital,"New Orleans, Louisiana",North America
363,Church of Gibborim Executive Office,"Los Angeles, California",North America
364,CIA Headquarters,"Langley, Virginia",North America
365,CIA Safe House,United States of America,North America
366,CIA South Korean Black Site,"Seoul, South Korea",Asia
367,Cincinnati,"Ohio, United States of America",North America
368,Cincinnati Memorial Hospital,"Cincinnati, Ohio",North America
369,Circle Q,"Jersey City, New Jersey",North America
370,Circo's Pastry Shop,"Queens, New York City, New York",North America
371,Circuit de Monaco,"Monte Carlo, Monaco",Europe
372,Citadel,"Golden City, Wakanda",Africa
373,Citadel at the End of Time,,
374,Citi Field,"New York City, New York",North America
375,City of the Dead,Wakanda,Africa
376,Ciudad Hidalgo,"Chiapas, Mexico",North America
377,Claire Temple's Apartment,"New York City, New York",North America
378,Clarksville,"Tennessee, United States of America",North America
379,Clemence Convent,"New Orleans, Louisiana",North America
380,Cleveland,"Ohio, United States of America",North America
381,Clinica Sonando,"Crown Heights, Brooklyn, New York City, New York",North America
382,Clint Barton's Homestead,"Iowa,[1] United States of America",North America
383,Clinton Church,"Hell's Kitchen, Manhattan, New York City, New York",North America
384,Clive's Photo Studio,"New York City, New York",North America
385,Cloud Tombs of Praxius,Praxius IX,
386,Club Delight,"New Orleans, Louisiana",North America
387,Cockroach's Casino Warehouse,"New York City, New York",North America
388,Cocoon,"New York City, New York",North America
389,Coffee A Go-Go,"New York City, New York",North America
390,Coit Tower,"1 Telegraph Hill Boulevard,San Francisco, California",North America
391,Cole Miller's Apartment,"Harlem, Manhattan, New York City, New York",North America
392,Coles Academic High School,"Jersey City, New Jersey",North America
393,Collector's Museum,Knowhere,
394,Colleen O'Brien's Apartment,"New York City, New York",North America
395,Colma,"California, United States of America",North America
396,Colombia,Earth,South America
397,Colombian Police Station,"Bogotá, Colombia",South America
398,Colombo,Sri Lanka,Asia
399,Colon's Gym,"New York City, New York",North America
400,Colorado,United States of America,North America
401,Columbia University,"New York City, New York",North America
402,Columbia University Medical Center,"Manhattan, New York City, New York",North America
403,Columbus,"Ohio, United States of America",North America
404,Comic Book World,Multiverse,
405,Computational Services Inc. Headquarters,"Westview, New Jersey",North America
406,Coney Island,"New York City, New York",North America
407,Conjunction,,
408,Conjunction's Casino,Conjunction,
409,Connecticut,United States of America,North America
410,Contraxia,,
411,Cookeville,"Tennessee, United States of America",North America
412,Copenhagen,Denmark,Europe
413,Cornell University,"New York, United States of America",North America
414,Coronet,"Westview, New Jersey",North America
415,Costa Rica,Earth,North America
416,Costa Verde,Earth,North America
417,Coulson Academy,United States of America,North America
418,County Cold Storage Building,"Los Angeles, California",North America
419,Court Square Diner,"New York City, New York",North America
420,Coventry,Egypt,Africa
421,Crane Sisters' Tattoo Shop,"New York City, New York",North America
422,Cranky Pete's Deli,"New York City, New York",North America
423,Crater,"Palm Desert, California",North America
424,Crescent Heights Service,"Portland, Oregon",North America
425,Crispus Attucks Complex,"Harlem, New York City, New York",North America
426,Croatia,Earth,Europe
427,Crossroads,Multiverse,
428,Crown Regent Hotel,"Minsk, Belarus",Europe
429,Cuba,Earth,North America
430,Cube,Classified,
431,Cube World,Multiverse,
432,Culper Woods,"New Orleans, Louisiana",North America
433,Culver University,"Willowdale, VirginiaWest Virginia",North America
434,Curtis Hoyle's Apartment,"New York City, New York",North America
435,Cusco,Peru,South America
436,Custer's Grove,"Georgia, United States of America",North America
437,Custer's Grove High School,"Custer's Grove, Georgia",North America
438,Customs Station CI-741,Naro-Atzia,
439,Cut Rate Drugs,"New York City, New York",North America
440,Cuyahoga Falls,"Ohio, United States of America",North America
441,CyberCoffee,"Los Angeles, California",North America
442,Cybertek Corporate Headquarters,"Palo Alto, California",North America
443,Cybertek Manufacturing Facility,New Mexico,North America
444,Czech Republic,Earth,Europe
445,Czechoslovakia,Earth,Europe
446,Córdoba,Spain,Europe
447,D'Rill,,
448,Da Vinci Museum,"Venice, Italy",Europe
449,Dachau,Germany,Europe
450,Daily Bugle Broadcasting Center,"New York City, New York",North America
451,Daimon Helstrom's House,"Portland, Oregon",North America
452,Daisy Clover Milk Factory,"181 Gansevoort Street, New York City, New York",North America
453,Dallas,"Texas, United States of America",North America
454,Damage Control Deep Storage Vault,"Washington, D.C.",North America
455,Damage Control Headquarters,,North America
456,Damage Control Supermax Prison,,North America
457,Damascus,Syria,Asia
458,Damballah Voodoo Tours & Shop,"New Orleans, Louisiana",North America
459,Danny Rand's Penthouse,"New York City, New York",North America
460,Danvers,"Massachusetts, United States of America",North America
461,Darius Davis' House,"Los Angeles, California",North America
462,Dark Dimension,Multiverse,
463,Dark Gate,"Ancient Village, Ta Lo",
464,Darkhold Castle,Wundagore Mountain,
465,Dartford,England,Europe
466,Dave's Ranch,"Oahu, Hawaii",Oceania
467,Davenport,"Iowa, United States of America",North America
468,David Schultz's Apartment,"New York City, New York",North America
469,Dean Mansion,"Los Angeles, California",North America
470,Death Valley,"Mojave Desert, California",North America
471,Declan Research Facility,"Santa Barbara, California",North America
472,Declan Research Facility Lab,"Oahu, Hawaii",Oceania
473,Decommissioned CDC Facility,"Brooklyn, New York City, New York",North America
474,Deke Shaw's Company's Office,"Silicon Valley, California",North America
475,Delacroix,"Louisiana, United States of America",North America
476,Delaney Hall,"New York City, New York",North America
477,Delaware,United States of America,North America
478,Delmar's Deli & Grill,"New York City, New York",North America
479,Delmar's Deli-Grocery,"Queens, New York City, New York",North America
480,Democratic Republic of the Congo,Earth,Africa
481,Demolished Bar,United States of America,North America
482,Den Helder,Netherlands,Europe
483,Denmark,Earth,Europe
484,Denton Residence,"New York City, New York",North America
485,Denver,"Colorado, United States of America",North America
486,Derrick Jackson's House,"San Francisco, California",North America
487,Dervani,,
488,Des Moines,"Iowa, United States of America",North America
489,Detroit,"Michigan, United States of America",North America
490,Deutsches Opernhaus,"Berlin, Germany",Europe
491,Deviants Nest,"Beijing, China",Asia
492,Devil's Anus,Sakaar,
493,DeWitt Clinton High School,"New York City, New York, United States of America",North America
494,Diamond Head Crater,"Oahu, Hawaii",Oceania
495,Diamondback's Warehouse Hideout,"New York City, New York",North America
496,Dinah Madani's Apartment,"New York City, New York",North America
497,Distant Star Facility,United States of America,North America
498,District 27 West Side Station,Los Angeles,North America
499,Dogs of Hell's Club,"New York City, New York",North America
500,Dolores Miller's Apartment,"New Rochelle, New York",North America
501,Dominican Republic,Earth,North America
502,Donatello's,Michigan,North America
503,Dontrell Hamilton's Apartment,"New York City, New York",North America
504,Dorset Coast,United Kingdom,Europe
505,Dover,"Delaware, United States of America",North America
506,Dr. Jensen's Secret Lab,"Port Sudan, Sudan",Africa
507,Dresden,Germany,Europe
508,Dreykov's Budapest Office,"Budapest, Hungary",Europe
509,Drez-Lar,,
510,Drone Command Center,"Nevada, United States of America",North America
511,Druig's Compound,"Peru, South America",South America
512,Duat,Multiverse,
513,Dubai,United Arab Emirates,Asia
514,Dublin,Ireland,Europe
515,Dubrovnik,Croatia,Europe
516,Duke's Pool Hall,"New York City, New York",North America
517,Dulles,"Virginia, United States of America",North America
518,Dunbar Hotel,"Los Angeles, California",North America
519,Duncan + Dotter Design Office,"New York City, New York",North America
520,Duquesne Brownstone,"New York City, New York",North America
521,Duxbury,"Massachusetts, United States of America",North America
522,E-Z Slow Salvage Tow Yard,"New Orleans, Louisiana",North America
523,Earth,Nine RealmsSolar System,
524,Easik (Planet),,
525,East Brook Building,"New York City, New York",North America
526,East Hampton,"New York, United States of America",North America
527,East Lansing,"Michigan, United States of America",North America
528,Easterling Farms,"Illinois, United States of America",North America
529,Eastern Alps,"Austria, Europe",Europe
530,Eastern Regional Detention Center,"New York City, New York",North America
531,Eastman Residence,"New York City, New York",North America
532,Eastview,"New Jersey, United States of America",North America
533,Ebbets Field,"New York City, New York",North America
534,Echo Park,"Los Angeles, California",North America
535,Ecorse Hope Hospital,Michigan,North America
536,Ecuador,Earth,South America
537,Edam,Netherlands,Europe
538,Eden Towers,"New York City, New York",North America
539,Edinburgh,Scotland,Europe
540,Edison,"New Jersey, United States of America",North America
541,Edmonton,Alberta,North America
542,Edwards Air Force Base,"Lancaster, California",North America
543,Ego,,
544,Ego/Age of Ultron,,
545,Ego/Ravager T'Challa,,
546,Egypt,Earth,AfricaEurope
547,Eiffel Tower,"Paris, France",Europe
548,Eik,"Norway, Europe",Europe
549,El Cartel Food Truck,"Portland, Oregon",North America
550,El Divino Niño,"Seville, Spain",Europe
551,El Monte Junk and Salvage,"Los Angeles, California",North America
552,El Paso,"Texas, United States of America",North America
553,Elektra Natchios' Penthouse,"New York City, New York",North America
554,Elena Cardenas' Apartment,"New York City, New York",North America
555,Ellicott City,"Maryland, United States",North America
556,Ellison Residence,"New York City, New York",North America
557,Elmore's Bar,"New York City, New York",North America
558,Empire State Building,"New York City, New York",North America
559,Empire State University,"New York City, New York",North America
560,Endotex Labs,"Gaithersburg, Maryland",North America
561,England,United Kingdom,Europe
562,Englewood,"New Jersey, United States of America",North America
563,Enoch's House,United States of America,North America
564,Eric's Growhouse,"New Orleans, Louisiana",North America
565,Erik Gelden's Apartment,"New York City, New York",North America
566,Essex Tower Hotel,Los Angeles,North America
567,Esther Falb's Residence,"New York City, New York",North America
568,Estonia,Earth,Europe
569,Eternity's Altar,Multiverse,
570,Ethiopia,,Africa
571,Eureka,"California, United States of America",North America
572,Europe,Earth,
573,Everglades,"Florida, United States of America",North America
574,Exeter College,"London, England",Europe
575,Exitar,Knowhere,
576,F.E.A.S.T. Community Center,"New York City, New York",North America
577,Fagan Corners,"Vermont, United States of America",North America
578,Fairmont San Francisco,"950 Mason Street,San Francisco, California",North America
579,Fallujah,Iraq,Asia
580,Family Temporary House,Ohio,North America
581,Fargo,"North Dakota, United States of America",North America
582,Farm,"New York City, New York",North America
583,Farmers & Merchants Bank,"Allentown, Pennsylvania",North America
584,Faro,Portugal,Europe
585,Fat Man Auto Repair,"New York City, New York",North America
586,Fault,Multiverse,
587,Feira de Santana,Brazil,South America
588,Feldman Electronics,"River's End, New York",North America
589,Fiji,Earth,Oceania
590,Finland,Earth,Europe
591,Finow,"Barnim District, State of Brandenburg, Germany",Europe
592,Fisk Residence,"324 Harriet Lane, New York City, New York 10019",North America
593,Five Mile Fork,United States of America,North America
594,Flag Smashers Hideout,"Munich, Germany",Europe
595,Flint (city),"Michigan, United States of America",North America
596,Florence,Italy,Europe
597,Florida,United States of America,North America
598,Flowering Incense Dimension,Multiverse,
599,Flying Rocket Diner,Nevada,North America
600,Fogwell's Gym,"New York City, New York",North America
601,Folsom,"California, United States of America",North America
602,Folsom State Prison,"Folsom, California",North America
603,Fordham University,"New York City, New York, United States of America",North America
604,Forgotten Lakes,Kylos,
605,Fort Bryon,United States of America,North America
606,Fort Dodge,"Iowa, United States of America",North America
607,Fort Johnson,"Everglades, Florida, United States of America",North America
608,Fort Lauderdale,"Florida, United States of America",North America
609,Fort McCoy,"Sparta, Wisconsin",North America
610,Fort Meade,"Maryland, United States of America",North America
611,Fort Sumter,"Charleston, South Carolina",North America
612,France,Earth,"Europe; South America, Caribbean, and Africa (overseas regions/departments)"
613,Frank Castle's Apartment,"New York City, New York",North America
614,Frankfurt,Germany,Europe
615,Franklin D. Roosevelt High School,"Fremont, Ohio",North America
616,Franklin Deli Market,"New York City, New York",North America
617,Franny's Saloon,"Macon, Georgia",North America
618,Fred 62,"Los Angeles, California",North America
619,Frederick (city),"Maryland, North America",North America
620,Fremont (City),"Ohio, United States of America",North America
621,French Polynesia,Earth,Oceania
622,Fresno,"California, United States of America",North America
623,Freyer National Park,"West Virginia, United States of America",North America
624,Fridge,,
625,Frostgrinder,Niflheim,
626,Fun Arcade Games,Dark Dimension,North America
627,Føynland,"Norway, Europe",Europe
628,Gabon,Earth,"Africa, Earth"
629,Gaithersburg,"United States of America, Maryland",North America
630,Galactic Frontier,,
631,Galway,Ireland,Europe
632,Gap Junction,Multiverse,
633,Planet 0259-S,,
634,Garfield High School,"Los Angeles, California",North America
635,Gary & Roy's Doughnuts,"Portland, Oregon",North America
636,Gary (city),"Indiana, United States of America",North America
637,Gasel Bank,"Zürich, Switzerland",Europe
638,Gates of Osiris,Duat,
639,Gateway University,"Portland, Oregon",North America
640,General Electric Building,"570 Lexington Ave., New York City, New York",North America
641,Geneva,Switzerland,Europe
642,Genghis Connie's,"New York City, New York",North America
643,Genghis Connie's Too,"New York City, New York",North America
644,Genoa,Italy,Europe
